ID	Title	Content	HumorLevel	1	2	3	4	5
L0001	要求加薪	員工：老闆，您必須幫我加薪，已經有三家公司在找我了！     老闆：哪三家？     員工：自來水公司，台電，天然氣公司	4	0	0	0	1	0
L0002	查無此人	某市政府辦公大樓落成，門口缺副對聯。     副市長揮毫     上聯：說實話辦實事一身正氣     下聯：不貪污不受賄兩袖清風！     各個局處首長看後齊聲喝采。     考慮到民主，副市長讓各個局處首長一起出個橫批，大家你看我，我看你都不開口     正好一個賣菜的阿伯從此經過，順口而出：查無此人！	3	0	0	1	0	0
L0003	遣散費	中午老闆視察自己的建築工地時，發現有個人在角落玩手機。     老闆：你月薪多少？     那人答：二萬二。     老闆掏出錢包，數出二萬二再加遣散費共三萬元給他，並大聲吼道：拿著這個月的薪水，馬上離開！     那人走後，餘怒未消的老闆問旁邊工人：他是哪個部門的？     工人小小聲回答：他……他是來送便當的～～～     老闆：我咧..…&娘…@…#	4	0	0	1	0	0
L0004	職業習慣	一天，一位法官的女友看見兩個蚊子，便叫法官打死。     只見法官只把那個肚子飽飽的蚊子打死了，卻對那隻肚子乾癟的蚊子遲遲不下手。     女友問他為什麼不把那隻蚊子也打死？     他回答說：證據不足。	2	0	0	0	1	0
L0005	美女吵架	辦公室中兩位女同事吵起來了。     經理忍無可忍：「太不像話了！現在是什麼情況？你們把原因給我說清楚！」     兩人一聽，又爭先恐後各執一詞吵成一團。     經理大吼一聲：「夠了！胖的先講！」     頓時，世界安靜了。	4	0	0	1	0	0
L0006	乞丐	某條街有個乞丐，每天都在街旁向路人乞討。     某日乞丐身邊多了一個碗可是卻又沒人看著，     小明感到好奇，便上前問了那乞丐：「為什麼你放兩個碗？」     那乞丐笑笑道：「丫不知怎麼滴最近生意特別好，所以開了家分公司。」	3	0	0	0	1	0
L0007	專長：造謠	一位求職者在「專長」一欄中填上「造謠」。     面試官不信任地說：「你造一次謠給我們看看。」     求職者走到門外，對其他等待面試的人說：「你們可以回去了，我已經得到了這份工作，沒你們的事了。」	4	0	0	1	0	0
L0008	銀行怎麼賺錢	一位銀行經理去洗車，     洗車店老闆非常好奇地向他問到，你們銀行是怎麼賺錢的？     他立即回答，主要是靠授信類業務，中間業務和資產類業務三大板塊實現的。     老闆一臉疑惑，要求他通俗的解釋一下。     他想了想，說：就是高利貸，亂收費和拉皮條。老闆聽後豁然開朗。	3	0	0	1	0	0
L0009	都退一步	員工：「老闆我要加薪，不然我就辭職。」     老闆：「有話好好說，你看我們倆都各退一步行不行？」     員工：「怎麼退？」     老闆：「我不給你加薪，你也別走。」	4	0	0	1	0	0
L0010	不在人事	小王在10樓人事部門工作，一個月前，被調到9樓行政部門去了….     今天，小王同學打電話到人事部門找他：「小王在麼？」     接電話同事說：「小王已不在人事了。」     小王同學：「啊啊！什麼時候的事啊，我怎麼不知道啊，還沒來得及送他呢？」     「沒關係，你可以去下面找他啊。」	5	0	1	0	0	0
L0011	你拿手電筒去	女同事：「經理，這麼晚去提款我害怕。」     經理：「沒辦法，這筆資金有點兒急。」     女同事：「萬一有壞人劫色怎麼辦。」     經理：「你拿手電筒去。」     女同事：「這個有什麼用？」     經理：「遇到了壞人，你照一下自己的臉。」	3	0	0	0	1	0
L0012	上班打油詩	年年打工愁更愁，天天上班像隻猴；     加班加點無報酬，天天挨罵無理由；     碰見老闆低著頭，發了工資搖搖頭；     到了月尾就發愁，不知何年才出頭。	2	0	0	1	0	0
